State,Income2017,Income2016,Income2015,Income2014,Income2013,Income2012,Income2011,Income2010,Income2009,Income2008,Income2007
Alabama,48123,46257,44765,42830,42849,41574,41415,40474,40489,42666,40554
Alaska,73181,76440,73355,71583,72237,67712,67825,64576,66953,68460,64333
Arizona,56581,53558,51492,50068,48510,47826,46709,46789,48745,50958,49889
Arkansas,45869,45907,42798,44922,39376,39018,41302,38587,36538,39586,38134
California,71805,67739,64500,61933,60190,58328,57287,57708,58931,61021,59948
Colorado,69117,65685,63909,61303,58823,56765,55387,54046,55430,56993,55212
Connecticut,74168,73433,71346,70048,67098,67276,65753,64032,67034,68595,65967
Delaware,62852,61757,61255,59716,57846,54554,58814,55847,56860,57989,54610
District of Columbia,82336,75506,75628,71648,67572,65246,66583,63124,59290,57936,54317
Florida,52594,50860,49426,47463,46036,45040,44299,44409,44736,47778,47804
Georgia,56183,53559,51244,49321,47829,47209,46007,46430,44736,50861,49136
Hawaii,77765,74511,73486,69592,68020,66259,61821,63030,64098,67214,63746
Idaho,52225,51807,48275,47861,46783,45489,43341,43490,44926,47576,46253
Illinois,62992,60960,59588,57444,56210,55137,53234,52972,53966,56235,54124
Indiana,54181,52314,50532,49446,47529,46974,46438,44613,45424,47966,47448
Iowa,58570,56247,54736,53712,52229,50957,49427,47961,48044,48980,47292
Kansas,56422,54935,53906,52504,50972,50241,48264,48257,47817,50177,47451
Kentucky,48375,46659,44765,42958,43399,41724,41141,40062,40072,41538,40267
Louisiana,46145,45146,45727,44555,44164,42944,41734,42505,42429,43733,40926
Maine,56277,53079,51494,49462,46974,46709,46033,45815,45734,46581,45888
Maryland,80776,78945,75847,73971,72483,71836,70004,68854,69272,70545,68080
Massachusetts,77385,75297,70628,69160,66768,65339,62859,62072,64081,65401,62365
Michigan,54909,52492,51084,49847,48273,46859,45981,45413,45255,48591,47950
Minnesota,68388,65599,63488,61481,60702,58906,56954,55459,55616,57288,55802
Mississippi,43529,41754,40593,39680,37963,37095,36919,36851,36646,37790,36338
Missouri,53578,51746,50238,48363,46931,45321,45247,44301,45229,46867,45114
Montana,53386,50027,49509,46328,46972,45076,44222,42666,42322,43654,43531
Nebraska,59970,56927,54996,52686,51440,50723,50296,52504,48408,49693,47085
Nevada,58003,55180,52431,51450,51230,49760,48927,51001,53341,56361,55062
New Hampshire,73381,70936,70303,66532,64230,63280,62647,61042,60567,63731,62369
New Jersey,80088,76126,72222,72919,70165,69667,67458,67681,68342,70373,67035
New Mexico,46744,46748,45382,44803,43872,42558,41963,42090,43028,43508,41452
New York,64894,62909,60850,58878,57369,56448,55246,54148,54659,56013,53514
North Carolina,52752,50584,47830,46556,45906,45150,43916,43326,43674,46549,44670
North Dakota,61843,60656,60557,59029,55759,53585,51704,48670,47827,46032,43531
Ohio,54021,52334,51075,49308,48081,46829,45749,45090,45395,47988,46597
Oklahoma,50051,49176,48568,47529,45690,44312,43225,42072,41664,42822,41567
Oregon,60212,57532,54148,51075,50251,49161,46816,46560,48457,50169,48730
Pennsylvania,59195,56907,55702,53234,52007,51230,50228,49288,49520,50713,48576
Rhode Island,63870,60596,58073,54891,55902,54554,53636,52254,54119,55701,53568
South Carolina,50570,49501,47238,45238,44163,43107,43916,42018,42442,44625,43329
South Dakota,56894,54467,53017,50979,48947,48362,48321,45904,45043,46032,43424
Tennessee,51340,48547,47275,44361,44297,42764,41693,41461,41725,43614,42367
Texas,59206,56565,55653,53035,51704,50740,49392,48615,48259,50043,47548
Utah,68358,65977,62912,60922,59770,57049,55869,54744,55117,56633,55109
Vermont,57513,57677,56990,54166,52578,52997,52776,49406,51618,52104,49907
Virginia,71535,68114,66262,64902,62666,61741,61882,60674,59330,61233,59562
Washington,70979,67106,64129,61366,58405,57573,56835,55631,56548,58078,55212
West Virginia,43469,43385,42019,41059,41253,40196,38482,37218,37435,37989,37060
Wisconsin,59305,56811,55638,52622,51467,51059,50395,49001,49993,52094,50578
Wyoming,60434,59882,60214,57055,58752,54901,56322,53512,52664,53207,51731
